epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7855,2.52967,3.99249,2.5876,0.00415,0.55556,0.01196,0.0049,1.99113,4.27955,2.6216,0.00018337,0.00018337,0.00018337
2,110.471,1.7788,3.47624,1.9115,0.0048,0.61111,0.10461,0.04126,2.28584,4.12573,2.57535,0.000379614,0.000379614,0.000379614
3,153.958,1.65464,2.7973,1.70315,0.00578,0.93056,0.38203,0.13953,1.98253,3.54498,1.80361,0.000571898,0.000571898,0.000571898
4,197.58,1.6878,2.3596,1.69011,0.00631,1,0.33485,0.12715,2.02693,3.54476,1.59575,0.00076022,0.00076022,0.00076022
5,241.726,1.69344,2.20884,1.63509,0.40188,0.33333,0.44413,0.18512,1.79792,3.04455,1.92637,0.000944582,0.000944582,0.000944582
6,287.664,1.65036,2.17821,1.60617,0.5523,0.5278,0.59876,0.20658,1.88517,2.8997,1.9824,0.00112498,0.00112498,0.00112498
7,332.713,1.61926,1.96263,1.55863,0.47852,0.5621,0.53651,0.23347,1.84014,2.58685,2.12365,0.00130142,0.00130142,0.00130142
8,377.006,1.65853,1.92648,1.59537,0.59354,0.61604,0.61025,0.23257,2.00801,2.78381,2.28344,0.0014739,0.0014739,0.0014739
9,421.448,1.67422,1.9219,1.6142,0.46117,0.54593,0.4515,0.15854,2.20915,2.5672,2.62995,0.00153497,0.00153497,0.00153497
10,465.282,1.6197,1.83014,1.56064,0.40729,0.60709,0.45308,0.20544,1.84886,2.53838,1.90138,0.00151847,0.00151847,0.00151847
11,511.865,1.5543,1.67406,1.56127,0.80592,0.33333,0.34403,0.13286,2.29594,2.53605,2.23476,0.00150197,0.00150197,0.00150197
12,557.324,1.52834,1.59329,1.50962,0.59791,0.58333,0.57294,0.21979,1.98203,2.20163,2.2398,0.00148546,0.00148546,0.00148546
13,600.556,1.55991,1.49779,1.52324,0.50169,0.76147,0.69352,0.30829,1.87706,2.24421,1.86576,0.00146896,0.00146896,0.00146896
14,643.824,1.53842,1.52056,1.50558,0.55151,0.69187,0.55416,0.22569,1.84777,2.4473,1.68738,0.00145246,0.00145246,0.00145246
15,688.153,1.58543,1.49986,1.5471,0.61009,0.7151,0.69042,0.26726,1.80637,1.90441,1.73079,0.00143595,0.00143595,0.00143595
16,732.806,1.51097,1.49601,1.48532,0.58588,0.73611,0.69357,0.31708,1.90408,1.60268,1.8115,0.00141945,0.00141945,0.00141945
17,775.594,1.47783,1.42144,1.44005,0.47868,0.73131,0.55742,0.22682,1.96,1.8699,1.88453,0.00140295,0.00140295,0.00140295
18,818.207,1.43515,1.33138,1.40283,0.54486,0.23611,0.24924,0.08846,2.11933,2.74481,1.98066,0.00138644,0.00138644,0.00138644
19,861.015,1.451,1.35356,1.4396,0.74896,0.68056,0.71795,0.30528,1.74508,1.55373,1.88383,0.00136994,0.00136994,0.00136994
20,903.665,1.40887,1.30526,1.41184,0.82403,0.77373,0.82219,0.34585,1.85126,1.44111,1.81897,0.00135344,0.00135344,0.00135344
21,946.243,1.43017,1.22542,1.38298,0.7054,0.76329,0.76785,0.31896,1.91679,1.51099,1.83085,0.00133693,0.00133693,0.00133693
22,993.483,1.44326,1.26966,1.41518,0.81245,0.45833,0.55415,0.24412,1.91754,1.64044,1.87363,0.00132043,0.00132043,0.00132043
23,1038.06,1.39981,1.20426,1.39777,0.65385,0.7414,0.69798,0.28402,1.94974,1.48408,2.11632,0.00130393,0.00130393,0.00130393
24,1083.16,1.42933,1.30465,1.41422,0.7244,0.78396,0.7315,0.31261,1.89875,1.34915,1.89609,0.00128742,0.00128742,0.00128742
25,1128.91,1.34278,1.25486,1.37695,0.45463,0.56944,0.55171,0.22596,1.92299,1.72315,2.01399,0.00127092,0.00127092,0.00127092
26,1174.12,1.38288,1.21716,1.39314,0.86237,0.63228,0.7569,0.31699,1.96951,1.36108,1.90218,0.00125442,0.00125442,0.00125442
27,1219.4,1.32708,1.17317,1.34086,0.79884,0.77997,0.86339,0.36543,1.89925,1.29682,1.84844,0.00123791,0.00123791,0.00123791
28,1265.04,1.31246,1.12625,1.3426,0.81492,0.7,0.7835,0.28198,1.94979,1.3961,1.78243,0.00122141,0.00122141,0.00122141
29,1310.81,1.35015,1.13386,1.38694,0.77444,0.80556,0.83159,0.33831,1.86627,1.25293,1.80931,0.00120491,0.00120491,0.00120491
30,1356.08,1.27396,1.04293,1.31405,0.7531,0.69563,0.78965,0.31185,1.98748,1.41289,1.72788,0.0011884,0.0011884,0.0011884
31,1401.78,1.26177,1.08826,1.31977,0.59396,0.8181,0.72744,0.28912,1.927,1.58492,1.7506,0.0011719,0.0011719,0.0011719
32,1447.74,1.29725,1.0553,1.33609,0.73386,0.80556,0.78304,0.33475,1.91758,1.15087,1.86477,0.0011554,0.0011554,0.0011554
33,1493.79,1.31194,1.06584,1.34193,0.66476,0.89645,0.71793,0.30871,1.87834,1.22233,1.784,0.00113889,0.00113889,0.00113889
34,1539.89,1.25743,0.95226,1.32397,0.80817,0.91227,0.88641,0.3767,1.90043,1.04705,1.82164,0.00112239,0.00112239,0.00112239
35,1585.3,1.24183,0.98461,1.28604,0.76211,0.87951,0.87263,0.32936,1.96424,1.09901,1.90792,0.00110589,0.00110589,0.00110589
36,1630.38,1.22667,1.00154,1.28678,0.69522,0.74314,0.72226,0.28304,2.00475,1.39054,1.90436,0.00108938,0.00108938,0.00108938
37,1676.45,1.23777,1.00749,1.3088,0.72666,0.78178,0.73322,0.30828,1.97154,1.20651,1.91467,0.00107288,0.00107288,0.00107288
38,1718.85,1.20328,0.9911,1.28425,0.71544,0.82908,0.75187,0.33976,1.81589,1.15805,1.71138,0.00105638,0.00105638,0.00105638
39,1762.46,1.13835,0.97045,1.26069,0.83818,0.77778,0.81805,0.33589,1.94326,1.12836,1.88234,0.00103987,0.00103987,0.00103987
40,1805.69,1.14091,0.91601,1.23378,0.70486,0.63889,0.76195,0.31189,1.96981,1.37231,2.04657,0.00102337,0.00102337,0.00102337
41,1850.17,1.13005,0.90641,1.23024,0.83802,0.68374,0.80868,0.36979,1.89399,1.1153,1.93973,0.00100687,0.00100687,0.00100687
42,1892.42,1.14264,0.95238,1.25012,0.75933,0.77778,0.77077,0.35988,1.92527,1.16301,1.99067,0.000990365,0.000990365,0.000990365
43,1934.95,1.237,1.0002,1.32798,0.70342,0.84021,0.7264,0.29809,1.95326,1.2071,2.26295,0.000973861,0.000973861,0.000973861
44,1977.69,1.1374,0.96572,1.26011,0.78115,0.73606,0.80235,0.29402,2.07776,1.19427,2.3324,0.000957358,0.000957358,0.000957358
45,2020.08,1.10995,0.86955,1.24618,0.95473,0.68056,0.83922,0.31683,2.01783,1.08119,2.15769,0.000940855,0.000940855,0.000940855
46,2062.59,1.12944,0.80898,1.20877,0.88148,0.88889,0.93943,0.38628,1.8938,0.96796,1.79978,0.000924352,0.000924352,0.000924352
47,2105.12,1.12719,0.88114,1.21647,0.79498,0.79407,0.85593,0.37345,1.92645,1.12233,1.84902,0.000907848,0.000907848,0.000907848
48,2147.73,1.10465,0.85398,1.20968,0.74131,0.84722,0.85444,0.36305,1.91333,1.17779,1.9428,0.000891345,0.000891345,0.000891345
