epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3375,2.75737,5.30075,2.32435,0,0,0,0,2.47549,5.17072,2.65662,7.145e-05,7.145e-05,7.145e-05
2,71.1958,2.14154,4.70336,1.81153,0,0,0,0,1.69213,4.55775,1.76984,0.000155634,0.000155634,0.000155634
3,94.0614,1.62014,3.87847,1.31782,0.00032,0.06667,0.0003,5e-05,2.1254,4.5576,1.85999,0.00023812,0.00023812,0.00023812
4,116.47,1.71917,3.5467,1.35358,0.00113,0.18333,0.00142,0.00055,1.82126,4.29608,1.62716,0.000318909,0.000318909,0.000318909
5,138.273,1.69281,3.17376,1.39772,0.0023,0.4,0.00567,0.00191,1.70116,4.15766,1.65442,0.000397999,0.000397999,0.000397999
6,159.706,1.72364,2.81614,1.42013,0.00321,0.57778,0.02537,0.00631,1.74736,4.01411,1.53007,0.000475393,0.000475393,0.000475393
7,181.014,1.57738,2.52661,1.29842,0.00335,0.57778,0.15143,0.04534,1.79782,4.06931,1.61051,0.000551088,0.000551088,0.000551088
8,203.122,1.69984,2.45167,1.35827,0.00345,0.50556,0.05933,0.01511,1.88455,4.14886,1.73347,0.000625086,0.000625086,0.000625086
9,224.86,1.6485,2.34468,1.31097,0.00473,0.72222,0.30289,0.12743,1.91814,3.88784,1.79211,0.000697386,0.000697386,0.000697386
10,246.867,1.65066,2.38162,1.32947,0.0064,0.75,0.18126,0.05881,2.17557,3.93715,2.04107,0.000767989,0.000767989,0.000767989
11,268.5,1.53106,2.18087,1.26416,0.00569,0.75,0.2334,0.09345,2.16248,3.77914,2.02788,0.000836894,0.000836894,0.000836894
12,290.031,1.5632,2.26875,1.29879,0.21996,0.43333,0.22988,0.08692,2.11092,3.55247,2.10658,0.000904101,0.000904101,0.000904101
13,311.408,1.52926,2.18245,1.23149,0.07103,0.69444,0.32491,0.13692,2.12986,3.73189,2.1405,0.000969611,0.000969611,0.000969611
14,332.834,1.59983,2.15088,1.26112,0.72515,0.14537,0.34673,0.13598,2.00856,3.59183,1.996,0.00103342,0.00103342,0.00103342
15,354.033,1.44185,1.95126,1.20045,0.35281,0.17146,0.34538,0.11295,2.11199,3.53574,2.10928,0.00109554,0.00109554,0.00109554
16,375.274,1.4492,1.87654,1.23348,0.35846,0.29623,0.34225,0.13016,1.96739,3.30874,2.06312,0.00115595,0.00115595,0.00115595
17,396.488,1.38949,1.89947,1.20088,0.40868,0.1594,0.32721,0.11724,1.92625,3.50505,1.95993,0.00120265,0.00120265,0.00120265
18,417.594,1.35677,1.93017,1.1871,0.59579,0.11388,0.26441,0.07376,2.28703,3.74923,2.18124,0.0011885,0.0011885,0.0011885
19,438.727,1.45237,1.92953,1.19856,0.53582,0.1468,0.24296,0.08015,2.34265,3.71492,2.17666,0.00117435,0.00117435,0.00117435
20,459.757,1.41425,1.77089,1.15701,0.3567,0.35156,0.34028,0.10189,2.03753,3.17514,2.01336,0.00116021,0.00116021,0.00116021
21,480.858,1.39374,1.72849,1.17415,0.43854,0.45399,0.38241,0.11525,2.0292,3.11475,1.98541,0.00114606,0.00114606,0.00114606
22,502.541,1.42289,1.6777,1.18642,0.37484,0.44349,0.32479,0.08801,2.29148,3.00876,2.30128,0.00113191,0.00113191,0.00113191
23,523.749,1.37927,1.65314,1.15152,0.48829,0.45556,0.40538,0.11628,2.40523,2.9544,2.40217,0.00111776,0.00111776,0.00111776
24,544.928,1.33409,1.62843,1.16305,0.44545,0.57222,0.4209,0.12984,2.18108,2.83117,2.27891,0.00110362,0.00110362,0.00110362
25,566.03,1.26478,1.66242,1.13168,0.43142,0.54444,0.41587,0.16668,2.12809,2.70048,2.20844,0.00108947,0.00108947,0.00108947
26,587.063,1.32361,1.70248,1.18511,0.40662,0.51374,0.39063,0.16103,2.20494,2.74442,2.20786,0.00107532,0.00107532,0.00107532
27,607.989,1.41451,1.67727,1.22151,0.4423,0.45361,0.35457,0.15052,2.39471,2.79588,2.27366,0.00106118,0.00106118,0.00106118
28,629.103,1.41315,1.56508,1.19171,0.38197,0.52938,0.43165,0.17985,2.21491,2.55209,2.20643,0.00104703,0.00104703,0.00104703
29,650.274,1.3572,1.59137,1.16963,0.43847,0.6,0.51312,0.21798,2.09531,2.43378,2.16238,0.00103288,0.00103288,0.00103288
30,671.591,1.29343,1.47778,1.13756,0.50346,0.59227,0.46624,0.15264,2.21402,2.75503,2.25376,0.00101873,0.00101873,0.00101873
31,693,1.36462,1.45716,1.15879,0.51909,0.59444,0.47865,0.1611,2.12143,2.8097,2.11987,0.00100459,0.00100459,0.00100459
32,714.457,1.28733,1.62168,1.16125,0.71564,0.43698,0.59119,0.26792,1.96661,2.53587,1.94598,0.00099044,0.00099044,0.00099044
33,735.706,1.32573,1.6249,1.20268,0.67225,0.44585,0.54809,0.26921,1.91691,2.59167,1.86216,0.000976293,0.000976293,0.000976293
34,756.913,1.40416,1.42148,1.13842,0.57224,0.47427,0.44683,0.17887,2.09751,2.78049,2.00004,0.000962146,0.000962146,0.000962146
35,778.168,1.27491,1.43904,1.14134,0.52832,0.45205,0.50562,0.20382,2.10122,2.54589,2.01077,0.000947999,0.000947999,0.000947999
36,799.421,1.30537,1.36757,1.1393,0.6412,0.55757,0.60859,0.25823,1.93947,2.26983,1.93205,0.000933851,0.000933851,0.000933851
37,820.857,1.24497,1.38485,1.11623,0.40496,0.46111,0.49795,0.23671,2.05293,2.18908,2.02612,0.000919704,0.000919704,0.000919704
38,842.391,1.24297,1.39689,1.10192,0.51667,0.58333,0.59507,0.2535,2.17651,2.34548,2.20695,0.000905557,0.000905557,0.000905557
39,863.944,1.23166,1.38087,1.11395,0.50798,0.50487,0.54584,0.22706,2.04131,2.34391,2.10369,0.00089141,0.00089141,0.00089141
40,885.176,1.31251,1.43381,1.14186,0.60988,0.54444,0.59709,0.25486,2.00786,2.20722,2.16146,0.000877263,0.000877263,0.000877263
